subject,run,task,formation,light_position,angle,response,RT,correct
1,1,1,1,2,1,0,0,0
1,1,1,1,1,1,1,1.20355626499986,1
1,1,1,1,1,2,1,1.10758760099998,1
1,1,1,1,2,1,2,0.607883675000267,1
1,1,1,1,2,2,2,0.904481223999937,1
1,1,1,1,1,2,1,1.01349469300021,1
1,1,1,1,2,2,2,0.873764331000075,1
1,1,1,1,1,1,1,1.1218760050001,1
1,1,1,3,2,2,2,1.13608417499972,1
1,1,1,3,2,1,2,0.961480066000149,1
1,1,1,3,1,1,1,0.615272855000057,1
1,1,1,3,2,2,2,0.657450569000048,1
1,1,1,3,1,2,1,0.725801646000036,1
1,1,1,3,1,2,1,0.585895195000376,1
1,1,1,3,1,1,1,0.519553020999865,1
1,1,1,3,2,1,2,0.436689147999914,1
1,1,1,2,2,1,2,1.24431622299971,1
1,1,1,2,1,1,1,0.669828418000179,1
1,1,1,2,1,1,1,0.7728691909997,1
1,1,1,2,2,1,2,0.608560587000284,1
1,1,1,2,2,2,2,1.10258217099999,1
1,1,1,2,1,2,1,0.639465859000211,1
1,1,1,2,2,2,2,0.686077032999947,1
1,1,1,2,1,2,1,0.671037668999816,1
1,1,1,4,2,2,1,1.3384288100001,0
1,1,1,4,1,1,1,1.16183387500041,1
1,1,1,4,2,1,2,0.982033879000028,1
1,1,1,4,1,2,1,0.606345948000126,1
1,1,1,4,2,2,2,1.14557419100038,1
1,1,1,4,1,1,1,0.506588706999992,1
1,1,1,4,1,2,1,0.600077540000257,1
1,1,1,4,2,1,2,0.658104303000073,1
1,2,2,3,1,1,1,1.918858215,1
1,2,2,3,1,2,1,1.4191678240004,1
1,2,2,3,2,2,2,1.15367126799993,1
1,2,2,3,1,1,1,0.74161410600027,1
1,2,2,3,2,2,2,0.777730621000046,1
1,2,2,3,2,1,2,0.951111544000014,1
1,2,2,3,1,2,1,0.877789457999825,1
1,2,2,3,2,1,2,0.875728459000129,1
1,2,2,2,1,1,2,0.702317699999639,0
1,2,2,2,2,1,1,1.34833778299981,0
1,2,2,2,2,2,1,1.81694276200005,0
1,2,2,2,2,1,1,1.78539838999995,0
1,2,2,2,1,2,2,1.20638200799976,0
1,2,2,2,1,2,2,1.6940408370001,0
1,2,2,2,1,1,0,0,0
1,2,2,2,2,2,2,1.55779239799995,1
1,2,2,4,1,1,1,1.10831127700021,1
1,2,2,4,1,2,1,0.888584928,1
1,2,2,4,2,2,2,0.857706220999717,1
1,2,2,4,1,1,1,0.702162434000002,1
1,2,2,4,2,2,2,1.05273456199984,1
1,2,2,4,2,1,2,1.17847483300011,1
1,2,2,4,1,2,1,0.931657331999759,1
